sender_age_group,sender_state,transaction_type,merchant_category,total_transactions,total_value,avg_transaction_value,fraud_count
26-35,delhi,recharge,transport,41,13474,328.63,1
26-35,delhi,recharge,utilities,48,81262,1692.96,0
26-35,gujarat,bill payment,education,24,122810,5117.08,0
26-35,gujarat,bill payment,entertainment,72,30670,425.97,1
26-35,gujarat,bill payment,food,181,102520,566.41,1
26-35,gujarat,bill payment,fuel,111,155968,1405.12,0
26-35,gujarat,bill payment,grocery,220,250680,1139.45,0
26-35,gujarat,bill payment,healthcare,61,29822,488.89,0
26-35,gujarat,bill payment,other,106,102743,969.27,0
26-35,gujarat,bill payment,shopping,118,330273,2798.92,2
26-35,gujarat,bill payment,transport,84,25790,307.02,0
26-35,gujarat,bill payment,utilities,100,224537,2245.37,1
26-35,gujarat,p2m,education,73,403673,5529.77,0
26-35,gujarat,p2m,entertainment,182,85570,470.16,0
26-35,gujarat,p2m,food,373,215849,578.68,1
26-35,gujarat,p2m,fuel,253,387674,1532.31,0
26-35,gujarat,p2m,grocery,523,600549,1148.28,0
26-35,gujarat,p2m,healthcare,130,59076,454.43,0
26-35,gujarat,p2m,other,256,238344,931.03,0
26-35,gujarat,p2m,shopping,274,721835,2634.43,1
26-35,gujarat,p2m,transport,225,66114,293.84,1
26-35,gujarat,p2m,utilities,225,485400,2157.33,1
26-35,gujarat,p2p,education,107,561616,5248.75,0
26-35,gujarat,p2p,entertainment,236,104147,441.3,1
26-35,gujarat,p2p,food,464,262140,564.96,2
26-35,gujarat,p2p,fuel,289,420546,1455.18,0
26-35,gujarat,p2p,grocery,629,726662,1155.27,1
26-35,gujarat,p2p,healthcare,147,72115,490.58,0
26-35,gujarat,p2p,other,273,243864,893.27,1
26-35,gujarat,p2p,shopping,370,986366,2665.85,1
26-35,gujarat,p2p,transport,269,92191,342.72,0
26-35,gujarat,p2p,utilities,272,586886,2157.67,1
26-35,gujarat,recharge,education,9,51277,5697.44,0
26-35,gujarat,recharge,entertainment,35,17770,507.71,0
26-35,gujarat,recharge,food,64,33910,529.84,0
26-35,gujarat,recharge,fuel,36,60242,1673.39,0
26-35,gujarat,recharge,grocery,93,118974,1279.29,0
26-35,gujarat,recharge,healthcare,22,11901,540.95,0
26-35,gujarat,recharge,other,39,37439,959.97,0
26-35,gujarat,recharge,shopping,45,113150,2514.44,0
26-35,gujarat,recharge,transport,26,10877,418.35,0
26-35,gujarat,recharge,utilities,24,57652,2402.17,0
26-35,karnataka,bill payment,education,49,201645,4115.2,0
26-35,karnataka,bill payment,entertainment,129,56275,436.24,0
26-35,karnataka,bill payment,food,227,113265,498.96,0
26-35,karnataka,bill payment,fuel,137,213308,1556.99,0
26-35,karnataka,bill payment,grocery,314,352284,1121.92,3
26-35,karnataka,bill payment,healthcare,88,50769,576.92,0
26-35,karnataka,bill payment,other,158,149668,947.27,0
26-35,karnataka,bill payment,shopping,181,449180,2481.66,1
26-35,karnataka,bill payment,transport,124,34269,276.36,0
26-35,karnataka,bill payment,utilities,152,347819,2288.28,0
26-35,karnataka,p2m,education,98,469171,4787.46,0
26-35,karnataka,p2m,entertainment,291,124564,428.05,1
26-35,karnataka,p2m,food,558,324989,582.42,1
26-35,karnataka,p2m,fuel,394,621567,1577.58,2
26-35,karnataka,p2m,grocery,740,873959,1181.03,1
26-35,karnataka,p2m,healthcare,187,81162,434.02,0
26-35,karnataka,p2m,other,391,346458,886.08,0
26-35,karnataka,p2m,shopping,429,1152787,2687.15,0
26-35,karnataka,p2m,transport,308,99749,323.86,3
26-35,karnataka,p2m,utilities,327,693149,2119.72,0
26-35,karnataka,p2p,education,118,615458,5215.75,0
26-35,karnataka,p2p,entertainment,398,167745,421.47,2
26-35,karnataka,p2p,food,684,368369,538.55,1
26-35,karnataka,p2p,fuel,472,663970,1406.72,2
26-35,karnataka,p2p,grocery,941,1130080,1200.94,3
26-35,karnataka,p2p,healthcare,233,107521,461.46,1
26-35,karnataka,p2p,other,493,408216,828.02,0
26-35,karnataka,p2p,shopping,547,1456436,2662.59,1
26-35,karnataka,p2p,transport,400,126462,316.15,1
26-35,karnataka,p2p,utilities,399,827931,2075.02,2
26-35,karnataka,recharge,education,13,63389,4876.08,0
26-35,karnataka,recharge,entertainment,42,21711,516.93,0
26-35,karnataka,recharge,food,81,35613,439.67,0
26-35,karnataka,recharge,fuel,54,103931,1924.65,0
26-35,karnataka,recharge,grocery,96,98012,1020.96,0
26-35,karnataka,recharge,healthcare,27,12395,459.07,0
26-35,karnataka,recharge,other,36,35677,991.03,0
26-35,karnataka,recharge,shopping,58,158285,2729.05,0
26-35,karnataka,recharge,transport,43,14609,339.74,0
26-35,karnataka,recharge,utilities,47,100748,2143.57,0
26-35,maharashtra,bill payment,education,44,269363,6121.89,1
26-35,maharashtra,bill payment,entertainment,150,66978,446.52,0
26-35,maharashtra,bill payment,food,294,169414,576.24,0
26-35,maharashtra,bill payment,fuel,190,311758,1640.83,0
26-35,maharashtra,bill payment,grocery,366,434812,1188.01,1
26-35,maharashtra,bill payment,healthcare,92,44919,488.25,0
26-35,maharashtra,bill payment,other,208,212233,1020.35,0
26-35,maharashtra,bill payment,shopping,221,545339,2467.6,0
26-35,maharashtra,bill payment,transport,151,53835,356.52,0
26-35,maharashtra,bill payment,utilities,180,474488,2636.04,2
26-35,maharashtra,p2m,education,132,625330,4737.35,0
26-35,maharashtra,p2m,entertainment,362,167082,461.55,0
26-35,maharashtra,p2m,food,702,383007,545.59,2
26-35,maharashtra,p2m,fuel,466,676342,1451.38,0
26-35,maharashtra,p2m,grocery,929,1067593,1149.19,2
26-35,maharashtra,p2m,healthcare,224,106005,473.24,0
26-35,maharashtra,p2m,other,460,415283,902.79,0
26-35,maharashtra,p2m,shopping,574,1640814,2858.56,2
26-35,maharashtra,p2m,transport,357,106363,297.94,0
26-35,maharashtra,p2m,utilities,437,951744,2177.9,0
26-35,maharashtra,p2p,education,181,916947,5066.01,1
26-35,maharashtra,p2p,entertainment,461,218610,474.21,3
26-35,maharashtra,p2p,food,883,496708,562.52,1
26-35,maharashtra,p2p,fuel,573,858248,1497.82,2
26-35,maharashtra,p2p,grocery,1141,1359038,1191.09,2
26-35,maharashtra,p2p,healthcare,261,116660,446.97,2
26-35,maharashtra,p2p,other,561,488496,870.76,2
26-35,maharashtra,p2p,shopping,701,1886219,2690.75,0
26-35,maharashtra,p2p,transport,491,139422,283.96,0
26-35,maharashtra,p2p,utilities,559,1328073,2375.8,1
26-35,maharashtra,recharge,education,15,61428,4095.2,0
26-35,maharashtra,recharge,entertainment,54,21549,399.06,0
26-35,maharashtra,recharge,food,99,49752,502.55,0
26-35,maharashtra,recharge,fuel,71,100511,1415.65,1
26-35,maharashtra,recharge,grocery,136,168790,1241.1,0
26-35,maharashtra,recharge,healthcare,37,17223,465.49,0
26-35,maharashtra,recharge,other,69,60565,877.75,0
26-35,maharashtra,recharge,shopping,73,189741,2599.19,1
26-35,maharashtra,recharge,transport,46,10836,235.57,1
26-35,maharashtra,recharge,utilities,78,167700,2150.0,0
26-35,rajasthan,bill payment,education,29,136382,4702.83,1
26-35,rajasthan,bill payment,entertainment,94,38098,405.3,0
26-35,rajasthan,bill payment,food,135,69384,513.96,1
26-35,rajasthan,bill payment,fuel,95,125590,1322.0,0
26-35,rajasthan,bill payment,grocery,211,229030,1085.45,1
26-35,rajasthan,bill payment,healthcare,52,21930,421.73,0
26-35,rajasthan,bill payment,other,110,105637,960.34,2
26-35,rajasthan,bill payment,shopping,139,390083,2806.35,0
26-35,rajasthan,bill payment,transport,83,24479,294.93,0
26-35,rajasthan,bill payment,utilities,89,195342,2194.85,0
26-35,rajasthan,p2m,education,76,440726,5799.03,0
26-35,rajasthan,p2m,entertainment,184,81767,444.39,0
26-35,rajasthan,p2m,food,393,235646,599.61,1
26-35,rajasthan,p2m,fuel,238,372445,1564.89,1
26-35,rajasthan,p2m,grocery,505,616499,1220.79,2
26-35,rajasthan,p2m,healthcare,111,56001,504.51,0
26-35,rajasthan,p2m,other,224,172107,768.33,1
26-35,rajasthan,p2m,shopping,301,869537,2888.83,0
26-35,rajasthan,p2m,transport,196,60931,310.87,0
26-35,rajasthan,p2m,utilities,212,468269,2208.82,0
26-35,rajasthan,p2p,education,101,611955,6058.96,0
26-35,rajasthan,p2p,entertainment,278,115389,415.07,0
26-35,rajasthan,p2p,food,493,273685,555.14,1
26-35,rajasthan,p2p,fuel,299,473459,1583.47,0
26-35,rajasthan,p2p,grocery,614,684211,1114.35,1
26-35,rajasthan,p2p,healthcare,160,77151,482.19,0
26-35,rajasthan,p2p,other,309,242618,785.17,0
26-35,rajasthan,p2p,shopping,364,982277,2698.56,0
26-35,rajasthan,p2p,transport,242,66496,274.78,0
26-35,rajasthan,p2p,utilities,270,578153,2141.31,1
26-35,rajasthan,recharge,education,13,57522,4424.77,0
26-35,rajasthan,recharge,entertainment,25,12122,484.88,0
26-35,rajasthan,recharge,food,55,23246,422.65,0
26-35,rajasthan,recharge,fuel,33,56988,1726.91,0
26-35,rajasthan,recharge,grocery,63,73924,1173.4,0
26-35,rajasthan,recharge,healthcare,15,9520,634.67,0
26-35,rajasthan,recharge,other,35,33038,943.94,0
26-35,rajasthan,recharge,shopping,39,121240,3108.72,0
26-35,rajasthan,recharge,transport,31,9256,298.58,0
26-35,rajasthan,recharge,utilities,28,50435,1801.25,0
26-35,tamil nadu,bill payment,education,44,192683,4379.16,0
26-35,tamil nadu,bill payment,entertainment,114,47408,415.86,0
26-35,tamil nadu,bill payment,food,192,107701,560.94,0
26-35,tamil nadu,bill payment,fuel,124,211253,1703.65,1
26-35,tamil nadu,bill payment,grocery,275,360926,1312.46,0
26-35,tamil nadu,bill payment,healthcare,69,35082,508.43,2
26-35,tamil nadu,bill payment,other,144,131797,915.26,0
26-35,tamil nadu,bill payment,shopping,169,459003,2715.99,1
26-35,tamil nadu,bill payment,transport,118,30726,260.39,0
26-35,tamil nadu,bill payment,utilities,126,269059,2135.39,0
26-35,tamil nadu,p2m,education,105,605224,5764.04,0
26-35,tamil nadu,p2m,entertainment,276,127348,461.41,1
26-35,tamil nadu,p2m,food,418,222595,532.52,0
26-35,tamil nadu,p2m,fuel,330,524176,1588.41,0
26-35,tamil nadu,p2m,grocery,579,665098,1148.7,0
26-35,tamil nadu,p2m,healthcare,162,72992,450.57,0
26-35,tamil nadu,p2m,other,308,277271,900.23,1
26-35,tamil nadu,p2m,shopping,380,1055076,2776.52,1
26-35,tamil nadu,p2m,transport,267,84675,317.13,0
26-35,tamil nadu,p2m,utilities,289,631323,2184.51,2
26-35,tamil nadu,p2p,education,124,683564,5512.61,0
26-35,tamil nadu,p2p,entertainment,345,151978,440.52,1
26-35,tamil nadu,p2p,food,620,352677,568.83,1
26-35,tamil nadu,p2p,fuel,396,616061,1555.71,0
26-35,tamil nadu,p2p,grocery,828,976223,1179.01,1
26-35,tamil nadu,p2p,healthcare,213,99807,468.58,0
26-35,tamil nadu,p2p,other,394,359006,911.18,1
26-35,tamil nadu,p2p,shopping,477,1326451,2780.82,0
26-35,tamil nadu,p2p,transport,293,94287,321.8,0
26-35,tamil nadu,p2p,utilities,376,868375,2309.51,0
26-35,tamil nadu,recharge,education,17,84146,4949.76,0
26-35,tamil nadu,recharge,entertainment,28,10251,366.11,0
26-35,tamil nadu,recharge,food,60,31904,531.73,0
26-35,tamil nadu,recharge,fuel,29,33528,1156.14,0
26-35,tamil nadu,recharge,grocery,97,110605,1140.26,0
26-35,tamil nadu,recharge,healthcare,21,10072,479.62,0
26-35,tamil nadu,recharge,other,44,39344,894.18,1
26-35,tamil nadu,recharge,shopping,52,152079,2924.6,0
26-35,tamil nadu,recharge,transport,37,11227,303.43,0
26-35,tamil nadu,recharge,utilities,39,87449,2242.28,0
26-35,telangana,bill payment,education,29,129102,4451.79,1
26-35,telangana,bill payment,entertainment,102,44533,436.6,1
26-35,telangana,bill payment,food,161,84458,524.58,0
26-35,telangana,bill payment,fuel,118,165370,1401.44,0
26-35,telangana,bill payment,grocery,239,287016,1200.9,0
26-35,telangana,bill payment,healthcare,41,18584,453.27,0
26-35,telangana,bill payment,other,127,104558,823.29,1
26-35,telangana,bill payment,shopping,130,364868,2806.68,0
26-35,telangana,bill payment,transport,99,33199,335.34,0
26-35,telangana,bill payment,utilities,111,263977,2378.17,0
26-35,telangana,p2m,education,86,494815,5753.66,0
26-35,telangana,p2m,entertainment,205,85665,417.88,0
26-35,telangana,p2m,food,413,229938,556.75,1
26-35,telangana,p2m,fuel,280,416560,1487.71,1
26-35,telangana,p2m,grocery,560,648863,1158.68,0
26-35,telangana,p2m,healthcare,136,62209,457.42,0
26-35,telangana,p2m,other,270,230415,853.39,0
26-35,telangana,p2m,shopping,328,904223,2756.78,0
26-35,telangana,p2m,transport,210,69278,329.9,1
26-35,telangana,p2m,utilities,257,590281,2296.81,0
26-35,telangana,p2p,education,104,519261,4992.89,0
26-35,telangana,p2p,entertainment,264,112949,427.84,1
26-35,telangana,p2p,food,519,275199,530.25,0
26-35,telangana,p2p,fuel,333,513730,1542.73,0
26-35,telangana,p2p,grocery,730,864665,1184.47,0
26-35,telangana,p2p,healthcare,184,85549,464.94,0
26-35,telangana,p2p,other,327,293341,897.07,1
26-35,telangana,p2p,shopping,424,1155217,2724.57,1
26-35,telangana,p2p,transport,283,91191,322.23,1
26-35,telangana,p2p,utilities,322,762325,2367.47,0
26-35,telangana,recharge,education,18,112454,6247.44,0
26-35,telangana,recharge,entertainment,28,12870,459.64,0
26-35,telangana,recharge,food,45,20079,446.2,0
26-35,telangana,recharge,fuel,42,72621,1729.07,0
26-35,telangana,recharge,grocery,86,109520,1273.49,0
26-35,telangana,recharge,healthcare,20,8958,447.9,0
26-35,telangana,recharge,other,37,24864,672.0,0
26-35,telangana,recharge,shopping,53,141133,2662.89,0
26-35,telangana,recharge,transport,28,10985,392.32,0
26-35,telangana,recharge,utilities,35,72077,2059.34,0
26-35,uttar pradesh,bill payment,education,56,325171,5806.62,0
26-35,uttar pradesh,bill payment,entertainment,153,61494,401.92,0
26-35,uttar pradesh,bill payment,food,235,134361,571.75,0
26-35,uttar pradesh,bill payment,fuel,155,244949,1580.32,0
26-35,uttar pradesh,bill payment,grocery,317,391380,1234.64,1
26-35,uttar pradesh,bill payment,healthcare,83,41449,499.39,0
26-35,uttar pradesh,bill payment,other,157,118866,757.11,1
26-35,uttar pradesh,bill payment,shopping,194,523830,2700.15,0
26-35,uttar pradesh,bill payment,transport,120,36194,301.62,1
26-35,uttar pradesh,bill payment,utilities,139,316302,2275.55,0
26-35,uttar pradesh,p2m,education,124,701237,5655.14,0
26-35,uttar pradesh,p2m,entertainment,287,121588,423.65,0
26-35,uttar pradesh,p2m,food,548,341391,622.98,1
26-35,uttar pradesh,p2m,fuel,393,594597,1512.97,0
26-35,uttar pradesh,p2m,grocery,691,810528,1172.98,1
26-35,uttar pradesh,p2m,healthcare,181,88007,486.23,0
26-35,uttar pradesh,p2m,other,354,302708,855.11,0
26-35,uttar pradesh,p2m,shopping,421,1306165,3102.53,0
26-35,uttar pradesh,p2m,transport,323,88487,273.95,1
26-35,uttar pradesh,p2m,utilities,324,707359,2183.21,0
26-35,uttar pradesh,p2p,education,144,709095,4924.27,0
26-35,uttar pradesh,p2p,entertainment,365,164013,449.35,0
26-35,uttar pradesh,p2p,food,734,397894,542.09,4
26-35,uttar pradesh,p2p,fuel,469,708123,1509.86,0
26-35,uttar pradesh,p2p,grocery,891,1080014,1212.14,0
26-35,uttar pradesh,p2p,healthcare,238,117095,492.0,1
26-35,uttar pradesh,p2p,other,490,401869,820.14,0
26-35,uttar pradesh,p2p,shopping,554,1548505,2795.14,1
26-35,uttar pradesh,p2p,transport,391,115126,294.44,1
26-35,uttar pradesh,p2p,utilities,454,1091493,2404.17,0
26-35,uttar pradesh,recharge,education,11,52306,4755.09,0
26-35,uttar pradesh,recharge,entertainment,46,21540,468.26,0
26-35,uttar pradesh,recharge,food,71,36869,519.28,0
26-35,uttar pradesh,recharge,fuel,59,107092,1815.12,0
26-35,uttar pradesh,recharge,grocery,112,139750,1247.77,0
26-35,uttar pradesh,recharge,healthcare,24,13256,552.33,0
26-35,uttar pradesh,recharge,other,47,41305,878.83,0
26-35,uttar pradesh,recharge,shopping,66,198731,3011.08,0
26-35,uttar pradesh,recharge,transport,53,15255,287.83,0
26-35,uttar pradesh,recharge,utilities,54,132201,2448.17,0
26-35,west bengal,bill payment,education,25,124384,4975.36,0
26-35,west bengal,bill payment,entertainment,88,44898,510.2,0
26-35,west bengal,bill payment,food,172,95591,555.76,1
26-35,west bengal,bill payment,fuel,116,164527,1418.34,0
26-35,west bengal,bill payment,grocery,213,258504,1213.63,1
26-35,west bengal,bill payment,healthcare,47,24394,519.02,0
26-35,west bengal,bill payment,other,121,109553,905.4,0
26-35,west bengal,bill payment,shopping,113,263984,2336.14,0
26-35,west bengal,bill payment,transport,80,19058,238.22,0
26-35,west bengal,bill payment,utilities,107,257658,2408.02,0
26-35,west bengal,p2m,education,73,412613,5652.23,0
26-35,west bengal,p2m,entertainment,184,78613,427.24,2
26-35,west bengal,p2m,food,393,212307,540.22,0
26-35,west bengal,p2m,fuel,259,417062,1610.28,0
26-35,west bengal,p2m,grocery,516,618126,1197.92,2
26-35,west bengal,p2m,healthcare,107,49853,465.92,0
26-35,west bengal,p2m,other,242,211293,873.11,0
26-35,west bengal,p2m,shopping,299,810663,2711.25,1
26-35,west bengal,p2m,transport,202,64202,317.83,0
26-35,west bengal,p2m,utilities,184,404065,2196.01,0
26-35,west bengal,p2p,education,102,576215,5649.17,0
26-35,west bengal,p2p,entertainment,232,100546,433.39,1
26-35,west bengal,p2p,food,479,275233,574.6,0
26-35,west bengal,p2p,fuel,316,474029,1500.09,0
26-35,west bengal,p2p,grocery,678,803230,1184.71,3
26-35,west bengal,p2p,healthcare,159,76751,482.71,0
26-35,west bengal,p2p,other,296,241167,814.75,0
26-35,west bengal,p2p,shopping,364,1060258,2912.8,3
26-35,west bengal,p2p,transport,259,81413,314.34,0
26-35,west bengal,p2p,utilities,295,622424,2109.91,1
26-35,west bengal,recharge,education,9,25300,2811.11,0
26-35,west bengal,recharge,entertainment,33,13201,400.03,0
26-35,west bengal,recharge,food,47,32452,690.47,0
26-35,west bengal,recharge,fuel,25,33185,1327.4,0
26-35,west bengal,recharge,grocery,74,82089,1109.31,0
26-35,west bengal,recharge,healthcare,12,5312,442.67,0
26-35,west bengal,recharge,other,27,29388,1088.44,0
26-35,west bengal,recharge,shopping,50,134562,2691.24,0
26-35,west bengal,recharge,transport,26,10019,385.35,0
26-35,west bengal,recharge,utilities,25,51183,2047.32,0
36-45,andhra pradesh,bill payment,education,23,129549,5632.57,0
36-45,andhra pradesh,bill payment,entertainment,61,23239,380.97,0
36-45,andhra pradesh,bill payment,food,106,48824,460.6,0
36-45,andhra pradesh,bill payment,fuel,78,125100,1603.85,0
36-45,andhra pradesh,bill payment,grocery,169,237774,1406.95,0
36-45,andhra pradesh,bill payment,healthcare,46,25292,549.83,0
36-45,andhra pradesh,bill payment,other,71,57430,808.87,0
36-45,andhra pradesh,bill payment,shopping,75,219996,2933.28,0
36-45,andhra pradesh,bill payment,transport,65,19418,298.74,0
36-45,andhra pradesh,bill payment,utilities,54,166623,3085.61,1
36-45,andhra pradesh,p2m,education,50,341429,6828.58,0
36-45,andhra pradesh,p2m,entertainment,159,61936,389.53,0
36-45,andhra pradesh,p2m,food,253,109029,430.94,0
36-45,andhra pradesh,p2m,fuel,164,297437,1813.64,2
36-45,andhra pradesh,p2m,grocery,317,425626,1342.67,2
36-45,andhra pradesh,p2m,healthcare,97,61115,630.05,0
36-45,andhra pradesh,p2m,other,198,166779,842.32,1
36-45,andhra pradesh,p2m,shopping,192,439794,2290.59,0
36-45,andhra pradesh,p2m,transport,135,31828,235.76,1
36-45,andhra pradesh,p2m,utilities,180,547091,3039.39,1
36-45,andhra pradesh,p2p,education,71,541179,7622.24,0
36-45,andhra pradesh,p2p,entertainment,164,65532,399.59,0
36-45,andhra pradesh,p2p,food,341,178299,522.87,0
36-45,andhra pradesh,p2p,fuel,214,386577,1806.43,0
36-45,andhra pradesh,p2p,grocery,473,617415,1305.32,1
36-45,andhra pradesh,p2p,healthcare,127,81127,638.8,0
36-45,andhra pradesh,p2p,other,224,185713,829.08,0
36-45,andhra pradesh,p2p,shopping,265,558893,2109.03,0
36-45,andhra pradesh,p2p,transport,185,48587,262.63,1
36-45,andhra pradesh,p2p,utilities,190,502610,2645.32,1
36-45,andhra pradesh,recharge,education,10,77310,7731.0,0
36-45,andhra pradesh,recharge,entertainment,25,8612,344.48,0
36-45,andhra pradesh,recharge,food,29,11043,380.79,0
36-45,andhra pradesh,recharge,fuel,28,63712,2275.43,0
36-45,andhra pradesh,recharge,grocery,53,63821,1204.17,0
36-45,andhra pradesh,recharge,healthcare,10,6514,651.4,0
36-45,andhra pradesh,recharge,other,35,24613,703.23,0
36-45,andhra pradesh,recharge,shopping,27,52183,1932.7,0
36-45,andhra pradesh,recharge,transport,22,9953,452.41,0
36-45,andhra pradesh,recharge,utilities,17,41665,2450.88,0
36-45,delhi,bill payment,education,30,172924,5764.13,0
36-45,delhi,bill payment,entertainment,80,27407,342.59,0
36-45,delhi,bill payment,food,128,71861,561.41,1
36-45,delhi,bill payment,fuel,103,149929,1455.62,0
36-45,delhi,bill payment,grocery,205,278475,1358.41,0
36-45,delhi,bill payment,healthcare,56,33099,591.05,0
36-45,delhi,bill payment,other,85,70705,831.82,0
36-45,delhi,bill payment,shopping,103,241669,2346.3,0
36-45,delhi,bill payment,transport,78,24217,310.47,0
36-45,delhi,bill payment,utilities,93,271899,2923.65,0
36-45,delhi,p2m,education,82,572550,6982.32,0
36-45,delhi,p2m,entertainment,169,62946,372.46,0
36-45,delhi,p2m,food,316,140371,444.21,2
36-45,delhi,p2m,fuel,231,388424,1681.49,0
36-45,delhi,p2m,grocery,423,563248,1331.56,1
36-45,delhi,p2m,healthcare,123,73756,599.64,0
36-45,delhi,p2m,other,223,168811,757.0,1
36-45,delhi,p2m,shopping,278,669001,2406.48,1
36-45,delhi,p2m,transport,167,48633,291.22,0
36-45,delhi,p2m,utilities,184,514432,2795.83,1
36-45,delhi,p2p,education,93,615972,6623.35,0
36-45,delhi,p2p,entertainment,248,90767,366.0,0
36-45,delhi,p2p,food,396,213958,540.3,1
36-45,delhi,p2p,fuel,309,546170,1767.54,0
36-45,delhi,p2p,grocery,570,777621,1364.25,1
36-45,delhi,p2p,healthcare,146,80246,549.63,0
36-45,delhi,p2p,other,290,265874,916.81,3
36-45,delhi,p2p,shopping,336,772063,2297.81,0
36-45,delhi,p2p,transport,213,67732,317.99,0
36-45,delhi,p2p,utilities,258,703863,2728.15,0
36-45,delhi,recharge,education,9,42448,4716.44,0
36-45,delhi,recharge,entertainment,34,11723,344.79,1
36-45,delhi,recharge,food,39,19826,508.36,0
36-45,delhi,recharge,fuel,28,47440,1694.29,0
36-45,delhi,recharge,grocery,62,86243,1391.02,0
36-45,delhi,recharge,healthcare,28,13745,490.89,0
36-45,delhi,recharge,other,33,23464,711.03,0
36-45,delhi,recharge,shopping,31,82518,2661.87,0
36-45,delhi,recharge,transport,18,6212,345.11,0
36-45,delhi,recharge,utilities,28,84936,3033.43,0
36-45,gujarat,bill payment,education,26,181831,6993.5,0
36-45,gujarat,bill payment,entertainment,58,24787,427.36,0
36-45,gujarat,bill payment,food,110,52316,475.6,1
36-45,gujarat,bill payment,fuel,66,112897,1710.56,0
36-45,gujarat,bill payment,grocery,172,269395,1566.25,0
36-45,gujarat,bill payment,healthcare,31,17267,557.0,0
36-45,gujarat,bill payment,other,87,84519,971.48,0
36-45,gujarat,bill payment,shopping,84,211278,2515.21,0
36-45,gujarat,bill payment,transport,56,18986,339.04,0
36-45,gujarat,bill payment,utilities,73,192978,2643.53,0
36-45,gujarat,p2m,education,44,311223,7073.25,0
36-45,gujarat,p2m,entertainment,133,50441,379.26,0
36-45,gujarat,p2m,food,284,126012,443.7,0
36-45,gujarat,p2m,fuel,180,340983,1894.35,1
36-45,gujarat,p2m,grocery,341,459078,1346.27,0
36-45,gujarat,p2m,healthcare,73,43612,597.42,0
36-45,gujarat,p2m,other,182,139002,763.75,0
36-45,gujarat,p2m,shopping,231,583459,2525.8,0
36-45,gujarat,p2m,transport,142,39730,279.79,0
36-45,gujarat,p2m,utilities,163,412636,2531.51,0
36-45,gujarat,p2p,education,71,432771,6095.37,0
36-45,gujarat,p2p,entertainment,173,66139,382.31,0
36-45,gujarat,p2p,food,326,176744,542.16,1
36-45,gujarat,p2p,fuel,217,399511,1841.06,0
36-45,gujarat,p2p,grocery,468,642691,1373.27,0
36-45,gujarat,p2p,healthcare,108,61850,572.69,0
36-45,gujarat,p2p,other,223,190601,854.71,0
36-45,gujarat,p2p,shopping,265,579504,2186.81,0
36-45,gujarat,p2p,transport,176,58452,332.11,0
36-45,gujarat,p2p,utilities,188,516840,2749.15,1
36-45,gujarat,recharge,education,7,68633,9804.71,0
36-45,gujarat,recharge,entertainment,22,6729,305.86,0
36-45,gujarat,recharge,food,37,23882,645.46,0
36-45,gujarat,recharge,fuel,32,51338,1604.31,0
36-45,gujarat,recharge,grocery,57,87555,1536.05,0
36-45,gujarat,recharge,healthcare,9,6477,719.67,0
36-45,gujarat,recharge,other,31,26956,869.55,0
36-45,gujarat,recharge,shopping,24,69593,2899.71,0
36-45,gujarat,recharge,transport,16,3705,231.56,1
36-45,gujarat,recharge,utilities,24,83737,3489.04,0
36-45,karnataka,bill payment,education,24,154014,6417.25,0
36-45,karnataka,bill payment,entertainment,77,34816,452.16,0
36-45,karnataka,bill payment,food,148,68430,462.36,0
36-45,karnataka,bill payment,fuel,118,203040,1720.68,0
36-45,karnataka,bill payment,grocery,219,311252,1421.24,0
36-45,karnataka,bill payment,healthcare,62,46322,747.13,0
36-45,karnataka,bill payment,other,118,92028,779.9,1
36-45,karnataka,bill payment,shopping,145,328308,2264.19,0
36-45,karnataka,bill payment,transport,97,24894,256.64,0
36-45,karnataka,bill payment,utilities,94,268174,2852.91,0
36-45,karnataka,p2m,education,74,408729,5523.36,0
36-45,karnataka,p2m,entertainment,241,89823,372.71,0
36-45,karnataka,p2m,food,397,210670,530.65,1
36-45,karnataka,p2m,fuel,274,489084,1784.98,1
36-45,karnataka,p2m,grocery,515,712571,1383.63,1
36-45,karnataka,p2m,healthcare,134,91270,681.12,0
36-45,karnataka,p2m,other,241,211408,877.21,0
36-45,karnataka,p2m,shopping,299,654609,2189.33,1
36-45,karnataka,p2m,transport,199,60668,304.86,0
36-45,karnataka,p2m,utilities,246,681989,2772.31,1
36-45,karnataka,p2p,education,105,648092,6172.3,0
36-45,karnataka,p2p,entertainment,243,84178,346.41,0
36-45,karnataka,p2p,food,497,229153,461.07,0
36-45,karnataka,p2p,fuel,333,608292,1826.7,1
36-45,karnataka,p2p,grocery,683,922256,1350.3,0
36-45,karnataka,p2p,healthcare,159,107852,678.31,0
36-45,karnataka,p2p,other,320,266443,832.63,3
36-45,karnataka,p2p,shopping,406,1029849,2536.57,1
36-45,karnataka,p2p,transport,288,86997,302.07,1
36-45,karnataka,p2p,utilities,305,767215,2515.46,1
36-45,karnataka,recharge,education,7,51175,7310.71,0
36-45,karnataka,recharge,entertainment,25,9889,395.56,1
36-45,karnataka,recharge,food,51,26922,527.88,0
36-45,karnataka,recharge,fuel,34,52252,1536.82,0
36-45,karnataka,recharge,grocery,94,126233,1342.9,0
36-45,karnataka,recharge,healthcare,23,15027,653.35,0
36-45,karnataka,recharge,other,34,34704,1020.71,0
36-45,karnataka,recharge,shopping,50,89397,1787.94,1
36-45,karnataka,recharge,transport,18,4600,255.56,0
