sender_state,hour_of_day,device_type,network_type,amount_category,total_transactions,fraud_transactions,fraud_rate,avg_fraud_amount
gujarat,9,android,5g,High (2K-10K),34,0,0.0,0.0
gujarat,9,android,5g,Very High (>10K),3,0,0.0,0.0
gujarat,9,android,wifi,Small (<500),28,0,0.0,0.0
gujarat,9,android,wifi,Medium (500-2K),25,0,0.0,0.0
gujarat,9,android,wifi,High (2K-10K),9,0,0.0,0.0
gujarat,9,ios,3g,Small (<500),2,0,0.0,0.0
gujarat,9,ios,3g,Medium (500-2K),4,0,0.0,0.0
gujarat,9,ios,3g,High (2K-10K),2,0,0.0,0.0
gujarat,9,ios,4g,Small (<500),48,1,2.083333333333333,224.0
gujarat,9,ios,4g,Medium (500-2K),45,0,0.0,0.0
gujarat,9,ios,4g,High (2K-10K),20,0,0.0,0.0
gujarat,9,ios,4g,Very High (>10K),1,0,0.0,0.0
gujarat,9,ios,5g,Small (<500),6,0,0.0,0.0
gujarat,9,ios,5g,Medium (500-2K),13,0,0.0,0.0
gujarat,9,ios,5g,High (2K-10K),12,0,0.0,0.0
gujarat,9,ios,5g,Very High (>10K),1,0,0.0,0.0
gujarat,9,ios,wifi,Small (<500),13,0,0.0,0.0
gujarat,9,ios,wifi,Medium (500-2K),1,0,0.0,0.0
gujarat,9,ios,wifi,High (2K-10K),3,0,0.0,0.0
gujarat,9,web,3g,Small (<500),1,0,0.0,0.0
gujarat,9,web,4g,Small (<500),13,0,0.0,0.0
gujarat,9,web,4g,Medium (500-2K),10,0,0.0,0.0
gujarat,9,web,4g,High (2K-10K),5,0,0.0,0.0
gujarat,9,web,5g,Small (<500),6,0,0.0,0.0
gujarat,9,web,5g,Medium (500-2K),7,0,0.0,0.0
gujarat,9,web,5g,High (2K-10K),2,0,0.0,0.0
gujarat,9,web,wifi,Small (<500),1,0,0.0,0.0
gujarat,10,android,3g,Small (<500),13,0,0.0,0.0
gujarat,10,android,3g,Medium (500-2K),16,0,0.0,0.0
gujarat,10,android,3g,High (2K-10K),10,0,0.0,0.0
gujarat,10,android,4g,Small (<500),218,2,0.9174311926605505,302.0
gujarat,10,android,4g,Medium (500-2K),186,1,0.5376344086021506,1100.0
gujarat,10,android,4g,High (2K-10K),88,0,0.0,0.0
gujarat,10,android,4g,Very High (>10K),3,0,0.0,0.0
gujarat,10,android,5g,Small (<500),79,0,0.0,0.0
gujarat,10,android,5g,Medium (500-2K),70,0,0.0,0.0
gujarat,10,android,5g,High (2K-10K),37,0,0.0,0.0
gujarat,10,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,10,android,wifi,Small (<500),28,0,0.0,0.0
gujarat,10,android,wifi,Medium (500-2K),40,0,0.0,0.0
gujarat,10,android,wifi,High (2K-10K),13,0,0.0,0.0
gujarat,10,ios,3g,Small (<500),4,0,0.0,0.0
gujarat,10,ios,3g,Medium (500-2K),3,0,0.0,0.0
gujarat,10,ios,3g,High (2K-10K),4,0,0.0,0.0
gujarat,10,ios,4g,Small (<500),68,0,0.0,0.0
gujarat,10,ios,4g,Medium (500-2K),65,0,0.0,0.0
gujarat,10,ios,4g,High (2K-10K),27,0,0.0,0.0
gujarat,10,ios,5g,Small (<500),38,0,0.0,0.0
gujarat,10,ios,5g,Medium (500-2K),22,0,0.0,0.0
gujarat,10,ios,5g,High (2K-10K),15,0,0.0,0.0
gujarat,10,ios,wifi,Small (<500),8,0,0.0,0.0
gujarat,10,ios,wifi,Medium (500-2K),12,0,0.0,0.0
gujarat,10,ios,wifi,High (2K-10K),2,0,0.0,0.0
gujarat,10,web,3g,Small (<500),1,0,0.0,0.0
gujarat,10,web,3g,Medium (500-2K),1,0,0.0,0.0
gujarat,10,web,4g,Small (<500),14,0,0.0,0.0
gujarat,10,web,4g,Medium (500-2K),15,0,0.0,0.0
gujarat,10,web,4g,High (2K-10K),6,0,0.0,0.0
gujarat,10,web,4g,Very High (>10K),1,0,0.0,0.0
gujarat,10,web,5g,Small (<500),7,0,0.0,0.0
gujarat,10,web,5g,Medium (500-2K),6,0,0.0,0.0
gujarat,10,web,5g,High (2K-10K),3,0,0.0,0.0
gujarat,10,web,wifi,Small (<500),3,0,0.0,0.0
gujarat,10,web,wifi,Medium (500-2K),2,0,0.0,0.0
gujarat,10,web,wifi,High (2K-10K),1,0,0.0,0.0
gujarat,11,android,3g,Small (<500),30,0,0.0,0.0
gujarat,11,android,3g,Medium (500-2K),17,0,0.0,0.0
gujarat,11,android,3g,High (2K-10K),13,0,0.0,0.0
gujarat,11,android,4g,Small (<500),239,0,0.0,0.0
gujarat,11,android,4g,Medium (500-2K),245,1,0.40816326530612246,1394.0
gujarat,11,android,4g,High (2K-10K),94,0,0.0,0.0
gujarat,11,android,4g,Very High (>10K),2,0,0.0,0.0
gujarat,11,android,5g,Small (<500),108,0,0.0,0.0
gujarat,11,android,5g,Medium (500-2K),80,0,0.0,0.0
gujarat,11,android,5g,High (2K-10K),41,0,0.0,0.0
gujarat,11,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,11,android,wifi,Small (<500),30,0,0.0,0.0
gujarat,11,android,wifi,Medium (500-2K),43,0,0.0,0.0
gujarat,11,android,wifi,High (2K-10K),16,0,0.0,0.0
gujarat,11,ios,3g,Small (<500),10,0,0.0,0.0
gujarat,11,ios,3g,Medium (500-2K),3,0,0.0,0.0
gujarat,11,ios,3g,High (2K-10K),2,0,0.0,0.0
gujarat,11,ios,4g,Small (<500),49,0,0.0,0.0
gujarat,11,ios,4g,Medium (500-2K),56,0,0.0,0.0
gujarat,11,ios,4g,High (2K-10K),44,0,0.0,0.0
gujarat,11,ios,4g,Very High (>10K),1,0,0.0,0.0
gujarat,11,ios,5g,Small (<500),17,0,0.0,0.0
gujarat,11,ios,5g,Medium (500-2K),20,0,0.0,0.0
gujarat,11,ios,5g,High (2K-10K),12,0,0.0,0.0
gujarat,11,ios,wifi,Small (<500),6,0,0.0,0.0
gujarat,11,ios,wifi,Medium (500-2K),12,0,0.0,0.0
gujarat,11,ios,wifi,High (2K-10K),6,0,0.0,0.0
gujarat,11,web,3g,Small (<500),1,0,0.0,0.0
gujarat,11,web,3g,Medium (500-2K),2,0,0.0,0.0
gujarat,11,web,3g,High (2K-10K),2,0,0.0,0.0
gujarat,11,web,4g,Small (<500),17,0,0.0,0.0
gujarat,11,web,4g,Medium (500-2K),16,0,0.0,0.0
gujarat,11,web,4g,High (2K-10K),10,0,0.0,0.0
gujarat,11,web,5g,Small (<500),7,0,0.0,0.0
gujarat,11,web,5g,Medium (500-2K),3,0,0.0,0.0
gujarat,11,web,5g,High (2K-10K),1,0,0.0,0.0
gujarat,11,web,wifi,Small (<500),1,0,0.0,0.0
gujarat,11,web,wifi,Medium (500-2K),2,0,0.0,0.0
gujarat,11,web,wifi,High (2K-10K),3,0,0.0,0.0
gujarat,12,android,3g,Small (<500),23,0,0.0,0.0
gujarat,12,android,3g,Medium (500-2K),22,0,0.0,0.0
gujarat,12,android,3g,High (2K-10K),7,0,0.0,0.0
gujarat,12,android,3g,Very High (>10K),1,0,0.0,0.0
gujarat,12,android,4g,Small (<500),283,0,0.0,0.0
gujarat,12,android,4g,Medium (500-2K),210,0,0.0,0.0
gujarat,12,android,4g,High (2K-10K),125,0,0.0,0.0
gujarat,12,android,4g,Very High (>10K),6,0,0.0,0.0
gujarat,12,android,5g,Small (<500),84,0,0.0,0.0
gujarat,12,android,5g,Medium (500-2K),96,0,0.0,0.0
gujarat,12,android,5g,High (2K-10K),50,0,0.0,0.0
gujarat,12,android,wifi,Small (<500),51,0,0.0,0.0
gujarat,12,android,wifi,Medium (500-2K),45,0,0.0,0.0
gujarat,12,android,wifi,High (2K-10K),18,0,0.0,0.0
gujarat,12,ios,3g,Small (<500),5,0,0.0,0.0
gujarat,12,ios,3g,Medium (500-2K),9,0,0.0,0.0
gujarat,12,ios,3g,High (2K-10K),2,0,0.0,0.0
gujarat,12,ios,4g,Small (<500),68,0,0.0,0.0
gujarat,12,ios,4g,Medium (500-2K),61,0,0.0,0.0
gujarat,12,ios,4g,High (2K-10K),30,0,0.0,0.0
gujarat,12,ios,4g,Very High (>10K),2,0,0.0,0.0
gujarat,12,ios,5g,Small (<500),35,0,0.0,0.0
gujarat,12,ios,5g,Medium (500-2K),25,0,0.0,0.0
gujarat,12,ios,5g,High (2K-10K),11,0,0.0,0.0
gujarat,12,ios,wifi,Small (<500),9,0,0.0,0.0
gujarat,12,ios,wifi,Medium (500-2K),13,0,0.0,0.0
gujarat,12,ios,wifi,High (2K-10K),5,0,0.0,0.0
gujarat,12,web,3g,Small (<500),2,0,0.0,0.0
gujarat,12,web,3g,Medium (500-2K),2,0,0.0,0.0
gujarat,12,web,3g,High (2K-10K),1,0,0.0,0.0
gujarat,12,web,4g,Small (<500),18,1,5.555555555555555,40.0
gujarat,12,web,4g,Medium (500-2K),29,0,0.0,0.0
gujarat,12,web,4g,High (2K-10K),7,0,0.0,0.0
gujarat,12,web,5g,Small (<500),8,0,0.0,0.0
gujarat,12,web,5g,Medium (500-2K),6,0,0.0,0.0
gujarat,12,web,5g,High (2K-10K),1,0,0.0,0.0
gujarat,12,web,wifi,Medium (500-2K),2,0,0.0,0.0
gujarat,12,web,wifi,High (2K-10K),1,0,0.0,0.0
gujarat,13,android,3g,Small (<500),18,0,0.0,0.0
gujarat,13,android,3g,Medium (500-2K),17,0,0.0,0.0
gujarat,13,android,3g,High (2K-10K),8,0,0.0,0.0
gujarat,13,android,4g,Small (<500),225,0,0.0,0.0
gujarat,13,android,4g,Medium (500-2K),196,0,0.0,0.0
gujarat,13,android,4g,High (2K-10K),102,0,0.0,0.0
gujarat,13,android,4g,Very High (>10K),3,0,0.0,0.0
gujarat,13,android,5g,Small (<500),91,0,0.0,0.0
gujarat,13,android,5g,Medium (500-2K),89,0,0.0,0.0
gujarat,13,android,5g,High (2K-10K),50,0,0.0,0.0
gujarat,13,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,13,android,wifi,Small (<500),28,0,0.0,0.0
gujarat,13,android,wifi,Medium (500-2K),39,0,0.0,0.0
gujarat,13,android,wifi,High (2K-10K),14,0,0.0,0.0
gujarat,13,android,wifi,Very High (>10K),2,0,0.0,0.0
gujarat,13,ios,3g,Small (<500),6,0,0.0,0.0
gujarat,13,ios,3g,Medium (500-2K),5,0,0.0,0.0
gujarat,13,ios,3g,High (2K-10K),2,0,0.0,0.0
gujarat,13,ios,4g,Small (<500),53,0,0.0,0.0
gujarat,13,ios,4g,Medium (500-2K),57,0,0.0,0.0
gujarat,13,ios,4g,High (2K-10K),23,0,0.0,0.0
gujarat,13,ios,5g,Small (<500),17,0,0.0,0.0
gujarat,13,ios,5g,Medium (500-2K),22,0,0.0,0.0
gujarat,13,ios,5g,High (2K-10K),16,0,0.0,0.0
gujarat,13,ios,5g,Very High (>10K),1,0,0.0,0.0
gujarat,13,ios,wifi,Small (<500),9,0,0.0,0.0
gujarat,13,ios,wifi,Medium (500-2K),9,1,11.11111111111111,854.0
gujarat,13,ios,wifi,High (2K-10K),6,0,0.0,0.0
gujarat,13,web,3g,Small (<500),1,0,0.0,0.0
gujarat,13,web,3g,Medium (500-2K),1,0,0.0,0.0
gujarat,13,web,4g,Small (<500),15,0,0.0,0.0
gujarat,13,web,4g,Medium (500-2K),15,0,0.0,0.0
gujarat,13,web,4g,High (2K-10K),8,0,0.0,0.0
gujarat,13,web,4g,Very High (>10K),1,0,0.0,0.0
gujarat,13,web,5g,Small (<500),7,0,0.0,0.0
gujarat,13,web,5g,Medium (500-2K),6,0,0.0,0.0
gujarat,13,web,5g,High (2K-10K),4,0,0.0,0.0
gujarat,13,web,wifi,Small (<500),4,0,0.0,0.0
gujarat,13,web,wifi,High (2K-10K),3,0,0.0,0.0
gujarat,14,android,3g,Small (<500),19,0,0.0,0.0
gujarat,14,android,3g,Medium (500-2K),15,0,0.0,0.0
gujarat,14,android,3g,High (2K-10K),9,0,0.0,0.0
gujarat,14,android,4g,Small (<500),164,0,0.0,0.0
gujarat,14,android,4g,Medium (500-2K),181,0,0.0,0.0
gujarat,14,android,4g,High (2K-10K),63,0,0.0,0.0
gujarat,14,android,4g,Very High (>10K),1,0,0.0,0.0
gujarat,14,android,5g,Small (<500),62,1,1.6129032258064515,216.0
gujarat,14,android,5g,Medium (500-2K),48,1,2.083333333333333,802.0
gujarat,14,android,5g,High (2K-10K),29,0,0.0,0.0
gujarat,14,android,wifi,Small (<500),33,0,0.0,0.0
gujarat,14,android,wifi,Medium (500-2K),23,0,0.0,0.0
gujarat,14,android,wifi,High (2K-10K),14,0,0.0,0.0
gujarat,14,ios,3g,Small (<500),2,0,0.0,0.0
gujarat,14,ios,3g,Medium (500-2K),3,0,0.0,0.0
gujarat,14,ios,3g,High (2K-10K),3,0,0.0,0.0
gujarat,14,ios,4g,Small (<500),43,0,0.0,0.0
gujarat,14,ios,4g,Medium (500-2K),54,0,0.0,0.0
gujarat,14,ios,4g,High (2K-10K),20,0,0.0,0.0
gujarat,14,ios,4g,Very High (>10K),2,0,0.0,0.0
gujarat,14,ios,5g,Small (<500),18,0,0.0,0.0
gujarat,14,ios,5g,Medium (500-2K),12,0,0.0,0.0
gujarat,14,ios,5g,High (2K-10K),9,0,0.0,0.0
gujarat,14,ios,5g,Very High (>10K),1,1,100.0,12373.0
gujarat,14,ios,wifi,Small (<500),7,0,0.0,0.0
gujarat,14,ios,wifi,Medium (500-2K),10,0,0.0,0.0
gujarat,14,ios,wifi,High (2K-10K),3,0,0.0,0.0
gujarat,14,web,3g,Small (<500),1,0,0.0,0.0
gujarat,14,web,3g,Medium (500-2K),1,0,0.0,0.0
gujarat,14,web,4g,Small (<500),12,0,0.0,0.0
gujarat,14,web,4g,Medium (500-2K),14,0,0.0,0.0
gujarat,14,web,4g,High (2K-10K),3,0,0.0,0.0
gujarat,14,web,5g,Small (<500),4,0,0.0,0.0
gujarat,14,web,5g,Medium (500-2K),7,0,0.0,0.0
gujarat,14,web,5g,High (2K-10K),2,0,0.0,0.0
gujarat,14,web,wifi,Small (<500),2,0,0.0,0.0
gujarat,14,web,wifi,Medium (500-2K),3,0,0.0,0.0
gujarat,14,web,wifi,High (2K-10K),2,0,0.0,0.0
gujarat,15,android,3g,Small (<500),18,0,0.0,0.0
gujarat,15,android,3g,Medium (500-2K),14,0,0.0,0.0
gujarat,15,android,3g,High (2K-10K),6,0,0.0,0.0
gujarat,15,android,4g,Small (<500),213,0,0.0,0.0
gujarat,15,android,4g,Medium (500-2K),196,0,0.0,0.0
gujarat,15,android,4g,High (2K-10K),87,1,1.1494252873563218,4027.0
gujarat,15,android,4g,Very High (>10K),3,0,0.0,0.0
gujarat,15,android,5g,Small (<500),84,0,0.0,0.0
gujarat,15,android,5g,Medium (500-2K),71,0,0.0,0.0
gujarat,15,android,5g,High (2K-10K),25,0,0.0,0.0
gujarat,15,android,wifi,Small (<500),27,0,0.0,0.0
gujarat,15,android,wifi,Medium (500-2K),34,0,0.0,0.0
gujarat,15,android,wifi,High (2K-10K),17,0,0.0,0.0
gujarat,15,ios,3g,Small (<500),2,0,0.0,0.0
gujarat,15,ios,3g,Medium (500-2K),4,0,0.0,0.0
gujarat,15,ios,3g,High (2K-10K),1,0,0.0,0.0
gujarat,15,ios,4g,Small (<500),52,0,0.0,0.0
gujarat,15,ios,4g,Medium (500-2K),34,0,0.0,0.0
gujarat,15,ios,4g,High (2K-10K),20,0,0.0,0.0
gujarat,15,ios,5g,Small (<500),16,0,0.0,0.0
gujarat,15,ios,5g,Medium (500-2K),12,0,0.0,0.0
gujarat,15,ios,5g,High (2K-10K),13,1,7.6923076923076925,2976.0
gujarat,15,ios,wifi,Small (<500),6,0,0.0,0.0
gujarat,15,ios,wifi,Medium (500-2K),14,0,0.0,0.0
gujarat,15,ios,wifi,High (2K-10K),1,0,0.0,0.0
gujarat,15,web,3g,Small (<500),1,0,0.0,0.0
gujarat,15,web,3g,Medium (500-2K),1,0,0.0,0.0
gujarat,15,web,3g,High (2K-10K),1,0,0.0,0.0
gujarat,15,web,4g,Small (<500),14,0,0.0,0.0
gujarat,15,web,4g,Medium (500-2K),15,0,0.0,0.0
gujarat,15,web,4g,High (2K-10K),8,0,0.0,0.0
gujarat,15,web,5g,Small (<500),6,0,0.0,0.0
gujarat,15,web,5g,Medium (500-2K),5,0,0.0,0.0
gujarat,15,web,5g,High (2K-10K),2,0,0.0,0.0
gujarat,15,web,wifi,Small (<500),2,0,0.0,0.0
gujarat,15,web,wifi,Medium (500-2K),1,0,0.0,0.0
gujarat,15,web,wifi,High (2K-10K),1,0,0.0,0.0
gujarat,16,android,3g,Small (<500),13,0,0.0,0.0
gujarat,16,android,3g,Medium (500-2K),19,0,0.0,0.0
gujarat,16,android,3g,High (2K-10K),6,0,0.0,0.0
gujarat,16,android,4g,Small (<500),229,0,0.0,0.0
gujarat,16,android,4g,Medium (500-2K),188,0,0.0,0.0
gujarat,16,android,4g,High (2K-10K),98,0,0.0,0.0
gujarat,16,android,4g,Very High (>10K),4,0,0.0,0.0
gujarat,16,android,5g,Small (<500),95,0,0.0,0.0
gujarat,16,android,5g,Medium (500-2K),72,0,0.0,0.0
gujarat,16,android,5g,High (2K-10K),50,0,0.0,0.0
gujarat,16,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,16,android,wifi,Small (<500),38,0,0.0,0.0
gujarat,16,android,wifi,Medium (500-2K),31,0,0.0,0.0
gujarat,16,android,wifi,High (2K-10K),22,0,0.0,0.0
gujarat,16,ios,3g,Small (<500),5,0,0.0,0.0
gujarat,16,ios,3g,Medium (500-2K),1,0,0.0,0.0
gujarat,16,ios,3g,High (2K-10K),3,0,0.0,0.0
gujarat,16,ios,4g,Small (<500),54,0,0.0,0.0
gujarat,16,ios,4g,Medium (500-2K),48,0,0.0,0.0
gujarat,16,ios,4g,High (2K-10K),24,0,0.0,0.0
gujarat,16,ios,4g,Very High (>10K),1,0,0.0,0.0
gujarat,16,ios,5g,Small (<500),17,0,0.0,0.0
gujarat,16,ios,5g,Medium (500-2K),19,0,0.0,0.0
gujarat,16,ios,5g,High (2K-10K),13,0,0.0,0.0
gujarat,16,ios,wifi,Small (<500),12,0,0.0,0.0
gujarat,16,ios,wifi,Medium (500-2K),12,0,0.0,0.0
gujarat,16,ios,wifi,High (2K-10K),3,0,0.0,0.0
gujarat,16,ios,wifi,Very High (>10K),1,0,0.0,0.0
gujarat,16,web,3g,Small (<500),1,0,0.0,0.0
gujarat,16,web,4g,Small (<500),9,0,0.0,0.0
gujarat,16,web,4g,Medium (500-2K),7,0,0.0,0.0
gujarat,16,web,4g,High (2K-10K),8,0,0.0,0.0
gujarat,16,web,5g,Small (<500),7,0,0.0,0.0
gujarat,16,web,5g,Medium (500-2K),4,0,0.0,0.0
gujarat,16,web,5g,High (2K-10K),4,0,0.0,0.0
gujarat,16,web,wifi,Small (<500),3,0,0.0,0.0
gujarat,16,web,wifi,Medium (500-2K),1,0,0.0,0.0
gujarat,17,android,3g,Small (<500),27,0,0.0,0.0
gujarat,17,android,3g,Medium (500-2K),14,0,0.0,0.0
gujarat,17,android,3g,High (2K-10K),9,0,0.0,0.0
gujarat,17,android,3g,Very High (>10K),1,0,0.0,0.0
gujarat,17,android,4g,Small (<500),261,0,0.0,0.0
gujarat,17,android,4g,Medium (500-2K),262,1,0.38167938931297707,991.0
gujarat,17,android,4g,High (2K-10K),135,0,0.0,0.0
gujarat,17,android,4g,Very High (>10K),3,0,0.0,0.0
gujarat,17,android,5g,Small (<500),115,0,0.0,0.0
gujarat,17,android,5g,Medium (500-2K),114,0,0.0,0.0
gujarat,17,android,5g,High (2K-10K),49,1,2.0408163265306123,4283.0
gujarat,17,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,17,android,wifi,Small (<500),61,0,0.0,0.0
gujarat,17,android,wifi,Medium (500-2K),39,0,0.0,0.0
gujarat,17,android,wifi,High (2K-10K),13,0,0.0,0.0
gujarat,17,android,wifi,Very High (>10K),1,0,0.0,0.0
gujarat,17,ios,3g,Small (<500),4,0,0.0,0.0
gujarat,17,ios,3g,Medium (500-2K),8,0,0.0,0.0
gujarat,17,ios,3g,High (2K-10K),2,0,0.0,0.0
gujarat,17,ios,3g,Very High (>10K),1,0,0.0,0.0
gujarat,17,ios,4g,Small (<500),66,0,0.0,0.0
gujarat,17,ios,4g,Medium (500-2K),64,0,0.0,0.0
gujarat,17,ios,4g,High (2K-10K),39,0,0.0,0.0
gujarat,17,ios,4g,Very High (>10K),3,0,0.0,0.0
gujarat,17,ios,5g,Small (<500),34,0,0.0,0.0
gujarat,17,ios,5g,Medium (500-2K),16,0,0.0,0.0
gujarat,17,ios,5g,High (2K-10K),10,0,0.0,0.0
gujarat,17,ios,5g,Very High (>10K),1,0,0.0,0.0
gujarat,17,ios,wifi,Small (<500),15,0,0.0,0.0
gujarat,17,ios,wifi,Medium (500-2K),19,0,0.0,0.0
gujarat,17,ios,wifi,High (2K-10K),8,0,0.0,0.0
gujarat,17,web,3g,Small (<500),5,0,0.0,0.0
gujarat,17,web,3g,Medium (500-2K),1,0,0.0,0.0
gujarat,17,web,4g,Small (<500),23,1,4.3478260869565215,292.0
gujarat,17,web,4g,Medium (500-2K),15,0,0.0,0.0
gujarat,17,web,4g,High (2K-10K),10,0,0.0,0.0
gujarat,17,web,5g,Small (<500),10,0,0.0,0.0
gujarat,17,web,5g,Medium (500-2K),5,0,0.0,0.0
gujarat,17,web,5g,High (2K-10K),8,0,0.0,0.0
gujarat,17,web,wifi,Small (<500),5,0,0.0,0.0
gujarat,17,web,wifi,Medium (500-2K),2,0,0.0,0.0
gujarat,17,web,wifi,High (2K-10K),1,0,0.0,0.0
gujarat,17,web,wifi,Very High (>10K),1,0,0.0,0.0
gujarat,18,android,3g,Small (<500),22,0,0.0,0.0
gujarat,18,android,3g,Medium (500-2K),21,0,0.0,0.0
gujarat,18,android,3g,High (2K-10K),16,0,0.0,0.0
gujarat,18,android,4g,Small (<500),307,0,0.0,0.0
gujarat,18,android,4g,Medium (500-2K),254,1,0.39370078740157477,696.0
gujarat,18,android,4g,High (2K-10K),135,1,0.7407407407407408,4505.0
gujarat,18,android,4g,Very High (>10K),6,0,0.0,0.0
gujarat,18,android,5g,Small (<500),120,0,0.0,0.0
gujarat,18,android,5g,Medium (500-2K),120,0,0.0,0.0
gujarat,18,android,5g,High (2K-10K),48,0,0.0,0.0
gujarat,18,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,18,android,wifi,Small (<500),57,0,0.0,0.0
gujarat,18,android,wifi,Medium (500-2K),51,0,0.0,0.0
gujarat,18,android,wifi,High (2K-10K),18,0,0.0,0.0
gujarat,18,android,wifi,Very High (>10K),1,0,0.0,0.0
gujarat,18,ios,3g,Small (<500),3,0,0.0,0.0
gujarat,18,ios,3g,Medium (500-2K),7,0,0.0,0.0
gujarat,18,ios,3g,High (2K-10K),6,0,0.0,0.0
gujarat,18,ios,4g,Small (<500),84,0,0.0,0.0
gujarat,18,ios,4g,Medium (500-2K),76,0,0.0,0.0
gujarat,18,ios,4g,High (2K-10K),43,0,0.0,0.0
gujarat,18,ios,4g,Very High (>10K),1,0,0.0,0.0
gujarat,18,ios,5g,Small (<500),44,0,0.0,0.0
gujarat,18,ios,5g,Medium (500-2K),27,0,0.0,0.0
gujarat,18,ios,5g,High (2K-10K),13,0,0.0,0.0
gujarat,18,ios,wifi,Small (<500),15,0,0.0,0.0
gujarat,18,ios,wifi,Medium (500-2K),8,0,0.0,0.0
gujarat,18,ios,wifi,High (2K-10K),11,0,0.0,0.0
gujarat,18,web,3g,Small (<500),2,0,0.0,0.0
gujarat,18,web,3g,Medium (500-2K),3,0,0.0,0.0
gujarat,18,web,3g,High (2K-10K),1,0,0.0,0.0
gujarat,18,web,4g,Small (<500),25,0,0.0,0.0
gujarat,18,web,4g,Medium (500-2K),18,0,0.0,0.0
gujarat,18,web,4g,High (2K-10K),7,0,0.0,0.0
gujarat,18,web,5g,Small (<500),8,0,0.0,0.0
gujarat,18,web,5g,Medium (500-2K),9,0,0.0,0.0
gujarat,18,web,5g,High (2K-10K),3,0,0.0,0.0
gujarat,18,web,wifi,Small (<500),5,0,0.0,0.0
gujarat,18,web,wifi,Medium (500-2K),3,0,0.0,0.0
gujarat,18,web,wifi,High (2K-10K),2,0,0.0,0.0
gujarat,19,android,3g,Small (<500),27,0,0.0,0.0
gujarat,19,android,3g,Medium (500-2K),22,0,0.0,0.0
gujarat,19,android,3g,High (2K-10K),18,0,0.0,0.0
gujarat,19,android,4g,Small (<500),301,3,0.9966777408637874,297.0
gujarat,19,android,4g,Medium (500-2K),278,0,0.0,0.0
gujarat,19,android,4g,High (2K-10K),127,1,0.7874015748031495,5295.0
gujarat,19,android,4g,Very High (>10K),5,0,0.0,0.0
gujarat,19,android,5g,Small (<500),116,0,0.0,0.0
gujarat,19,android,5g,Medium (500-2K),119,0,0.0,0.0
gujarat,19,android,5g,High (2K-10K),76,0,0.0,0.0
gujarat,19,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,19,android,wifi,Small (<500),58,0,0.0,0.0
gujarat,19,android,wifi,Medium (500-2K),60,0,0.0,0.0
gujarat,19,android,wifi,High (2K-10K),27,0,0.0,0.0
gujarat,19,android,wifi,Very High (>10K),2,0,0.0,0.0
gujarat,19,ios,3g,Small (<500),7,0,0.0,0.0
gujarat,19,ios,3g,Medium (500-2K),5,0,0.0,0.0
gujarat,19,ios,3g,High (2K-10K),3,0,0.0,0.0
gujarat,19,ios,4g,Small (<500),90,1,1.1111111111111112,162.0
gujarat,19,ios,4g,Medium (500-2K),73,0,0.0,0.0
gujarat,19,ios,4g,High (2K-10K),44,0,0.0,0.0
gujarat,19,ios,5g,Small (<500),33,0,0.0,0.0
gujarat,19,ios,5g,Medium (500-2K),38,0,0.0,0.0
gujarat,19,ios,5g,High (2K-10K),13,0,0.0,0.0
gujarat,19,ios,5g,Very High (>10K),1,0,0.0,0.0
gujarat,19,ios,wifi,Small (<500),15,1,6.666666666666667,244.0
gujarat,19,ios,wifi,Medium (500-2K),15,0,0.0,0.0
gujarat,19,ios,wifi,High (2K-10K),5,0,0.0,0.0
gujarat,19,web,3g,Small (<500),2,0,0.0,0.0
gujarat,19,web,3g,Medium (500-2K),1,0,0.0,0.0
gujarat,19,web,4g,Small (<500),19,0,0.0,0.0
gujarat,19,web,4g,Medium (500-2K),13,0,0.0,0.0
gujarat,19,web,4g,High (2K-10K),6,0,0.0,0.0
gujarat,19,web,5g,Small (<500),7,0,0.0,0.0
gujarat,19,web,5g,Medium (500-2K),11,0,0.0,0.0
gujarat,19,web,5g,High (2K-10K),7,0,0.0,0.0
gujarat,19,web,wifi,Small (<500),3,0,0.0,0.0
gujarat,19,web,wifi,Medium (500-2K),1,0,0.0,0.0
gujarat,19,web,wifi,High (2K-10K),3,0,0.0,0.0
gujarat,20,android,3g,Small (<500),24,0,0.0,0.0
gujarat,20,android,3g,Medium (500-2K),11,0,0.0,0.0
gujarat,20,android,3g,High (2K-10K),8,0,0.0,0.0
gujarat,20,android,3g,Very High (>10K),1,0,0.0,0.0
gujarat,20,android,4g,Small (<500),268,0,0.0,0.0
gujarat,20,android,4g,Medium (500-2K),266,0,0.0,0.0
gujarat,20,android,4g,High (2K-10K),132,1,0.7575757575757576,4188.0
gujarat,20,android,4g,Very High (>10K),4,0,0.0,0.0
gujarat,20,android,5g,Small (<500),137,0,0.0,0.0
gujarat,20,android,5g,Medium (500-2K),105,1,0.9523809523809524,534.0
gujarat,20,android,5g,High (2K-10K),64,0,0.0,0.0
gujarat,20,android,5g,Very High (>10K),1,0,0.0,0.0
gujarat,20,android,wifi,Small (<500),56,0,0.0,0.0
